end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM
Close Ended,Debt,Credit Risk,HSBC Credit Risk Fund|data-plan_id=10700,NIFTY Credit Risk Bond Index B-II,Moderately High,Moderately High,27.6076|data-nav-reg=27.6076|data-prev-nav-reg=27.5995,29.8154|data-nav-dir=29.8154|data-prev-nav-dir=29.8060,7.13|data-1y=7.13|data-3y=5.59|data-5y=5.45|data-10y=6.16|data-sl=6.89,8.00|data-1y=8.00|data-3y=6.45|data-5y=6.34|data-10y=6.92|data-sl=7.25,7.84|data-1y=7.84|data-3y=7.61|data-5y=8.00|data-10y=8.32|data-sl=8.60,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.57,582.14^|data-order=582.14
Close Ended,Debt,Credit Risk,ICICI Prudential Credit Risk Fund|data-plan_id=11783,CRISIL Credit Risk Debt B-II Index,High,Moderately High,30.3530|data-nav-reg=30.3530|data-prev-nav-reg=30.3381,33.3477|data-nav-dir=33.3477|data-prev-nav-dir=33.3307,8.40|data-1y=8.40|data-3y=6.94|data-5y=7.33|data-10y=7.81|data-sl=8.20,9.14|data-1y=9.14|data-3y=7.66|data-5y=8.04|data-10y=8.62|data-sl=8.88,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.74,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.60,"6,287.91^|data-order=6,287.91"
Close Ended,Debt,Credit Risk,Invesco India Credit Risk Fund|data-plan_id=27550,NIFTY Credit Risk Bond Index B-II,Moderately High,Moderately High,"1,815.9276|data-nav-reg=1,815.9276|data-prev-nav-reg=1,815.2446","2,009.6436|data-nav-dir=2,009.6436|data-prev-nav-dir=2,008.8233",7.25|data-1y=7.25|data-3y=6.97|data-5y=6.28|data-10y=5.74|data-sl=5.94,8.42|data-1y=8.42|data-3y=8.23|data-5y=7.55|data-10y=6.79|data-sl=6.98,7.84|data-1y=7.84|data-3y=7.61|data-5y=8.00|data-10y=8.32|data-sl=8.42,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.42,141.35^|data-order=141.35
Close Ended,Debt,Credit Risk,Kotak Credit Risk Fund|data-plan_id=11156,CRISIL Credit Risk Debt B-II Index,High,Moderately High,28.1099|data-nav-reg=28.1099|data-prev-nav-reg=28.0940,31.4767|data-nav-dir=31.4767|data-prev-nav-dir=31.4581,7.12|data-1y=7.12|data-3y=4.85|data-5y=5.24|data-10y=6.74|data-sl=7.30,8.12|data-1y=8.12|data-3y=5.86|data-5y=6.27|data-10y=7.84|data-sl=8.15,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.53,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.60,735.20|data-order=735.20
Close Ended,Debt,Credit Risk,Nippon India Credit Risk Fund✝|data-plan_id=10579,CRISIL Credit Risk Debt B-II Index,High,Moderately High,34.7924|data-nav-reg=34.7924|data-prev-nav-reg=34.7798,NA|data-nav-dir=NA|data-prev-nav-dir=NA,8.18|data-1y=8.18|data-3y=6.76|data-5y=5.44|data-10y=6.21|data-sl=7.12,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.59,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,980.91^|data-order=980.91
Close Ended,Debt,Credit Risk,Nippon India Credit Risk Fund|data-plan_id=2789,CRISIL Credit Risk Debt B-II Index,High,Moderately High,33.3612|data-nav-reg=33.3612|data-prev-nav-reg=33.3486,36.5746|data-nav-dir=36.5746|data-prev-nav-dir=36.5600,8.24|data-1y=8.24|data-3y=6.67|data-5y=5.30|data-10y=6.02|data-sl=6.34,9.07|data-1y=9.07|data-3y=7.44|data-5y=6.02|data-10y=6.82|data-sl=7.41,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.74,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.60,980.91^|data-order=980.91
Close Ended,Debt,Credit Risk,SBI Credit Risk Fund|data-plan_id=2298,NIFTY Credit Risk Bond Index B-II,High,Moderately High,43.6720|data-nav-reg=43.6720|data-prev-nav-reg=43.6631,47.0092|data-nav-dir=47.0092|data-prev-nav-dir=46.9988,8.07|data-1y=8.07|data-3y=6.86|data-5y=7.01|data-10y=7.49|data-sl=7.46,8.78|data-1y=8.78|data-3y=7.54|data-5y=7.69|data-10y=8.20|data-sl=8.62,7.84|data-1y=7.84|data-3y=7.61|data-5y=8.00|data-10y=8.32|data-sl=8.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.57,"2,277.35^|data-order=2,277.35"
Close Ended,Debt,Credit Risk,UTI Credit Risk Fund|data-plan_id=15382,CRISIL Credit Risk Debt B-II Index,Moderately High,Moderately High,16.4057|data-nav-reg=16.4057|data-prev-nav-reg=16.4029,18.4831|data-nav-dir=18.4831|data-prev-nav-dir=18.4797,7.91|data-1y=7.91|data-3y=6.11|data-5y=0.92|data-10y=3.05|data-sl=4.17,8.69|data-1y=8.69|data-3y=6.91|data-5y=1.69|data-10y=4.01|data-sl=5.14,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.61,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.60,308.21^|data-order=308.21
Close Ended,Debt,Banking and PSU,,,,,,,,,,,
Close Ended,Debt,Banking and PSU,Aditya Birla Sun Life Banking & PSU Debt Fund|data-plan_id=7701,Nifty Banking & PSU Debt Index A-II,Moderate,Low to Moderate,351.0280|data-nav-reg=351.0280|data-prev-nav-reg=350.9207,363.7207|data-nav-dir=363.7207|data-prev-nav-dir=363.6061,7.87|data-1y=7.87|data-3y=6.11|data-5y=6.50|data-10y=7.55|data-sl=8.01,8.23|data-1y=8.23|data-3y=6.48|data-5y=6.86|data-10y=7.89|data-sl=8.44,7.70|data-1y=7.70|data-3y=5.73|data-5y=6.17|data-10y=7.09|data-sl=7.74,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.40,"9,543.33^|data-order=9,543.33"
Close Ended,Debt,Banking and PSU,Aditya Birla Sun Life Banking & PSU Debt Fund✝|data-plan_id=1302,Nifty Banking & PSU Debt Index A-II,Moderate,Low to Moderate,526.9402|data-nav-reg=526.9402|data-prev-nav-reg=526.7790,NA|data-nav-dir=NA|data-prev-nav-dir=NA,7.87|data-1y=7.87|data-3y=6.12|data-5y=6.50|data-10y=7.55|data-sl=7.59,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,7.70|data-1y=7.70|data-3y=5.73|data-5y=6.17|data-10y=7.09|data-sl=7.45,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"9,543.33^|data-order=9,543.33"
